1973-605,Masters,Carpet,8,M,19731204,002,100119,,,Ilie Nastase,R,183,ROU,27.3785078713,1,0,100113,,,Jan Kodes,R,175,CZE,27.7618069815,9,0,6-4 2-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,003,100119,,,Ilie Nastase,R,183,ROU,27.3785078713,1,0,100087,,,John Newcombe,R,183,AUS,29.5331964408,2,0,7-5 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,004,100119,,,Ilie Nastase,R,183,ROU,27.3785078713,1,0,100284,,,Jimmy Connors,L,178,USA,21.2539356605,3,0,6-3 7-5,3,SF,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,005,100119,,,Ilie Nastase,R,183,ROU,27.3785078713,1,0,100084,,,Tom Okker,R,178,NED,29.7823408624,4,0,6-3 7-5 4-6 6-3,5,F,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,006,100113,,,Jan Kodes,R,175,CZE,27.7618069815,9,0,100127,,,Tom Gorman,R,180,USA,26.9596167009,11,0,6-3 3-6 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,007,100087,,,John Newcombe,R,183,AUS,29.5331964408,2,0,100113,,,Jan Kodes,R,175,CZE,27.7618069815,9,0,6-4 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,008,100087,,,John Newcombe,R,183,AUS,29.5331964408,2,0,100127,,,Tom Gorman,R,180,USA,26.9596167009,11,0,3-6 6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,009,100084,,,Tom Okker,R,178,NED,29.7823408624,4,0,100087,,,John Newcombe,R,183,AUS,29.5331964408,2,0,3-6 7-5 3-5 RET,3,SF,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,010,100084,,,Tom Okker,R,178,NED,29.7823408624,4,0,100284,,,Jimmy Connors,L,178,USA,21.2539356605,3,0,7-5 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,011,100084,,,Tom Okker,R,178,NED,29.7823408624,4,0,100174,,,Manuel Orantes,L,178,ESP,24.8240930869,6,0,6-1 6-3,3,RR,,,,,,,,,,,,,,,,,,,
